cell_name,cell_id
HT29,764
COLO205,765
HUH7,766
OV90,767
NCIH2122,768
A549,769
NCIH460,770
ZR751,771
KPL1,772
MCF7,773
T47D,774
LNCAPCLONEFGC,775
VCAP,776
OVCAR8,777
SW837,778
CAKI1,779
A498,780
ACHN,781
SKOV3,782
IGROV1,783
OVCAR4,784
TC32,785
EW8,786
TC71,787
RD,788
COLO320,789
NCIH520,790
SW620,791
A2780,792
NCIH522,793
MOLT4,794
HDLM2,795
L1236,796
L428,797
RPMI8226,798
HL60,799
K562,800
WM115,801
HT144,802
UACC62,803
SKMEL2,804
SKMEL30,805
UACC257,806
SKMEL5,807
MALME3M,808
SKMEL28,809
A375,810
NCIH226,811
U251MG,812
SNB19,813
SF295,814
T98G,815
HS578T,816
BT549,817
CAOV3,818
DU145,819
A2058,820
KM12,821
RKO,822
HCT116,823
786O,824
RPMI7951,825
ES2,826
LOXIMVI,827
MDAMB436,828
NCIH1650,829
MDAMB468,830
SKMES1,831
MDAMB231,832
PC3,833
NCIH322,834
PANC1,835
NCIH23,836
HCT15,837
DLD1,838
LOVO,839
