drugbank_id,entity_id,smiles
DB01110,0,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
DB01234,1,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DB08814,2,CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O
DB00661,3,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
DB00909,4,NS(=O)(=O)CC1=NOC2=CC=CC=C12
DB04841,5,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
DB00201,6,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
DB00277,7,CN1C2=C(NC=N2)C(=O)N(C)C1=O
DB00640,8,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
DB00651,9,CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O
DB00996,10,NCC1(CC(O)=O)CCCCC1
DB01223,11,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
DB01412,12,CN1C=NC2=C1C(=O)NC(=O)N2C
DB00619,13,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1
DB01254,14,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1
DB04868,15,CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)=CC(=C1)C(F)(F)F
DB00244,16,NC1=CC(C(O)=O)=C(O)C=C1
DB00316,17,CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O
DB00328,18,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
DB00350,19,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1
DB00461,20,COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2
DB00465,21,OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1
DB00469,22,CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=CS2)S1(=O)=O
DB00500,23,CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1
DB00554,24,CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O
DB00586,25,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
DB00605,26,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O
DB00712,27,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
DB00749,28,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1
DB00784,29,CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1
DB00788,30,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O
